# UltraFIBU - Kontenrahmen SKR03 (vollstaendig)
#
# Erzeugt aus dem DATEV-Kontenrahmen-PDF (BilRUG-Fassung, Stand 2026) mit
# Apps/UltraFIBU/tools/skr-pdf-extrahieren.py. Spaltenbedeutung nach der
# Legende des PDF:
#
#   bilanz_position      Fussnote 2) Bilanz- und GuV-Posten, grosse
#                        Kapitalgesellschaften, Gesamtkostenverfahren
#   funktion             KU/V/M Zusatzfunktion ueber einer Kontenklasse,
#                        AV/AM/S/F/R Hauptfunktion vor einem Konto, auch
#                        kombiniert (S/AV). AV und AM sind die
#                        DATEV-AUTOMATIKKONTEN.
#   abschlusszweck       HB Handelsbilanz, SB Steuerbilanz, EUeR
#   programmverbindung   U Umsatzsteuer, G Gewerbesteuer, K Koerperschaft
#   nummer_bis           gesetzt, wenn die Zeile einen Kontenbereich meint
#                        (im PDF als "0040-42" gedruckt). Solche Zeilen haben
#                        keine eigene Beschriftung; hier steht dann ihr
#                        Bilanz-Posten.
#
# STEUERSCHLUESSEL: uebernommen aus der bisherigen, handgepflegten Datei
# (14 Konten). Das PDF nennt die Automatikfunktion (AM/AV), nicht den
# Steuersatz - den aus einer Kontenbezeichnung zu lesen waere geraten. Wer
# weitere Schluessel setzt, prueft sie gegen die Steuerschluessel-Tabelle der
# Kanzlei.
#
# typ: fuer Konten ohne alten Eintrag aus der fuehrenden Ziffer abgeleitet -
# eine grobe Einordnung fuer die Auswertungen, keine Aussage des PDF.
#
nummer;bezeichnung;typ;steuerschluessel;euer_zeile;bwa_position;bilanz_position;funktion;abschlusszweck;programmverbindung;nummer_bis
0725;- Restlaufzeit größer 5 Jahre;aktiv;;;;Verbindlichkeiten gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht oder Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht;KU;;;
0730;Verbindlichkeiten gegenüber Gesellschaftern;aktiv;;;;Andere Verbindlichkeiten gegenüber Gesellschaftern oder Andere Forderungen gegen Gesellschafter oder Forderungen gegen Gesellschafter oder Sonstige Vermögensgegen-stände;KU;;;
0731;- Restlaufzeit bis 1 Jahr;aktiv;;;;Andere Verbindlichkeiten gegenüber Gesellschaftern;KU;;;
0740;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Andere Verbindlichkeiten gegenüber Gesellschaftern;KU;;;
0750;- Restlaufzeit größer 5 Jahre;aktiv;;;;Andere Verbindlichkeiten gegenüber Gesellschaftern;KU;;;
0755;Verbindlichkeiten gegenüber Gesellschaftern für offene Ausschüttungen;aktiv;;;;Andere Verbindlichkeiten gegenüber Gesellschaftern;KU;;;
0760;Verbindlichkeiten gegenüber typisch stillen Gesellschaftern;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0761;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0764;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0767;- Restlaufzeit größer 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0770;Verbindlichkeiten gegenüber atypisch stillen Gesellschaftern;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0771;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0774;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0777;- Restlaufzeit größer 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0780;Partiarische Darlehen;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0781;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0784;- Restlaufzeit 1 bis 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0787;- Restlaufzeit größer 5 Jahre;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0790;Sonstige Verbindlichkeiten, vor Restlaufzeitdifferenzierung (nur Bilanzierer);aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0799;Gegenkonto 0730-0789 und 1665- 1678 und 1695-1698 bei Aufteilung der Konten 0790-0798;aktiv;;;;Sonstige Verbindlichkeiten;KU;;;
0800;Gezeichnetes Kapital 17);aktiv;;;;Gezeichnetes Kapital;KU;;KK;
0809;Kapitalerhöhung aus Gesellschaftsmitteln 17);aktiv;;;;Gezeichnetes Kapital;KU;;K;
0810;Geschäftsguthaben der verbleibenden Mitglieder 17);aktiv;;;;Geschäftsguthaben der verbleibenden Mitglieder;;;K;
0811;Geschäftsguthaben der ausscheidenden Mitglieder 17);aktiv;;;;Geschäftsguthaben der ausscheidenden Mitglieder;;;K;
0812;Geschäftsguthaben aus gekündigten Geschäftsanteilen 17);aktiv;;;;Geschäftsguthaben aus gekündigten Geschäftsanteilen;;;K;
0813;Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt 17);aktiv;;;;Geschäftsguthaben der verbleibenden Mitglieder;;;K;
0815;Gegenkonto Rückständige fällige Einzahlungen auf Geschäftsanteile, vermerkt;aktiv;;;;Geschäftsguthaben der verbleibenden Mitglieder;;;;
0819;Erworbene eigene Anteile 17);aktiv;;;;Eigene Anteile;KU;;K;
0820;Ausstehende Einlagen auf das gezeichnete Kapital, nicht eingefordert (Passivausweis, vom gezeichneten Kapital offen abgesetzt, eingeforderte ausstehende Einlagen s. Konten 0830-0838);aktiv;;;;Nicht eingeforderte ausstehende Einlagen;KU;;;0829
0830;Ausstehende Einlagen auf das gezeichnete Kapital, eingefordert (Forderungen, nicht eingeforderte ausstehende Einlagen s. Konten 0820-0829);aktiv;;;;Eingeforderte, noch ausstehende Kapitaleinlagen;KU;;;0838
0839;Nachschüsse (Forderungen, Gegenkonto 0845) Kapitalrücklage;aktiv;;;;Eingeforderte Nachschüsse;KU;;;
0840;Kapitalrücklage 17);aktiv;;;;Kapitalrücklage;KU;;K;
0841;Kapitalrücklage durch Ausgabe von Anteilen über Nennbetrag 17);aktiv;;;;Kapitalrücklage;KU;;K;
0842;Kapitalrücklage durch Ausgabe von Schuldverschreibungen für Wandlungsrechte und Optionsrechte zum Erwerb von Anteilen 17);aktiv;;;;Kapitalrücklage;KU;;K;
0843;Kapitalrücklage durch Zuzahlungen gegen Gewährung eines Vorzugs für Anteile 17);aktiv;;;;Kapitalrücklage;KU;;K;
0844;Kapitalrücklage durch andere Zuzahlungen in das Eigenkapital 17);aktiv;;;;Kapitalrücklage;KU;;K;
0845;Nachschusskapital (Gegenkonto 0839) 17) Gewinnrücklagen;aktiv;;;;Kapitalrücklage;KU;;K;
0846;Gesetzliche Rücklage 17);aktiv;;;;Gesetzliche Rücklage;KU;;K;
0848;Andere Gewinnrücklagen aus dem Erwerb eigener Anteile 17) Seite;aktiv;;;;Andere Gewinnrücklagen;KU;;K;
0849;Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen;aktiv;;;;Rücklage für Anteile an einem herrschenden oder mehrheitlich beteiligten Unternehmen;KU;;;
0851;Satzungsmäßige Rücklagen 17);aktiv;;;;Satzungsmäßige Rücklagen;KU;;K;
0852;Andere Ergebnisrücklagen 17);aktiv;;;;Andere Ergebnisrücklagen;KU;;K;
0853;Gewinnrücklagen aus den Übergangsvorschriften BilMoG 11);aktiv;;;;Anfangskapital;KU;HB;;
0854;Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Zuschreibung Sachanlagevermögen) 11);aktiv;;;;Anfangskapital;KU;HB;;
0855;Andere Gewinnrücklagen 17);aktiv;;;;Andere Gewinnrücklagen;KU;;K;
0856;Eigenkapitalanteil von Wertaufholungen 17);aktiv;;;;Andere Gewinnrücklagen;KU;;K;
0857;Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Zuschreibung Finanzanlagevermögen) 11);aktiv;;;;Anfangskapital;KU;HB;;
0858;Gewinnrücklagen aus den Übergangsvorschriften BilMoG (Auflösung der Sonderposten mit Rücklageanteil) 11);aktiv;;;;Anfangskapital;KU;HB;;
0859;Latente Steuern (Gewinnrücklage Haben) aus erfolgsneutralen Verrechnungen 11);aktiv;;;;Anfangskapital;KU;HB;;
0860;Gewinnvortrag vor Verwendung 17);aktiv;;;;Gewinnvortrag / Verlustvortrag;KU;;K;
0865;Gewinnvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung);aktiv;;;;Gewinn-/Verlustvortrag vor Verwendung;F;;;
0867;Verlustvortrag vor Verwendung (mit Aufteilung für Kapitalkontenentwicklung);aktiv;;;;Gewinn-/Verlustvortrag vor Verwendung;F;;;
0868;Verlustvortrag vor Verwendung 17) Eigenkapital Vollhafter;aktiv;;;;Gewinnvortrag / Verlustvortrag;KU;;K;
0870;Festkapital;aktiv;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
0871;Kapital (fester Anteil, nur Einzelunternehmen) 22);aktiv;;;;Anfangskapital;F;;;
0880;Variables Kapital;aktiv;;;;Kapitalanteil der persönlich haftenden Gesellschafter;F;;;
0881;Kapital (variabler Anteil, nur Einzelunternehmen) 22);aktiv;;;;Anfangskapital;F;;;
0890;Gesellschafter-Darlehen;aktiv;;;;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern oder Forderungen gegen persönlich haftende Gesellschafter;F;;;
0891;Eigenkapital Teilhafter;aktiv;;;;Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern oder Forderungen gegen persönlich haftende Gesellschafter;R;;;0899
0900;Kommandit-Kapital;aktiv;;;;Kapitalanteile der Kommanditisten;F;;;
0901;Kapitalanteile der Kommanditisten;aktiv;;;;Kapitalanteile der Kommanditisten;R;;;0909
0910;Verlustausgleichskonto;aktiv;;;;Kapitalanteile der Kommanditisten;F;;;
0911;Fremdkapital Teilhafter;aktiv;;;;Kapitalanteile der Kommanditisten;R;;;0919
0920;Gesellschafter-Darlehen;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;F;;;
0921;Sonderposten mit Rücklageanteil;aktiv;;;;Verbindlichkeiten gegenüber Kommanditisten oder Forderungen gegen Kommanditisten;R;;;0929
0930;Übrige andere Sonderposten;aktiv;;;;Andere Sonderposten;KU;;;
0931;Steuerfreie Rücklagen nach § 6b EStG;aktiv;;;;Andere Sonderposten;KU;SB;;
0932;Rücklage für Ersatzbeschaffung;aktiv;;;;Andere Sonderposten;KU;SB;;
0940;Sonderposten mit Rücklageanteil, Sonderabschreibungen 6);aktiv;;;;Sonderposten mit Rücklageanteil;KU;;;
0945;Ausgleichsposten bei Entnahmen § 4g EStG;aktiv;;;;Andere Sonderposten;KU;SB;;
0946;Rücklage für Zuschüsse;aktiv;;;;Andere Sonderposten;KU;SB;;
0947;Sonderposten mit Rücklageanteil nach § 7g Abs. 5 EStG;aktiv;;;;Sonderposten mit Rücklageanteil;KU;;;
0948;Sonderposten für Zuschüsse Dritter;aktiv;;;;Sonderposten für Zuschüsse und Zulagen;KU;;;
0949;Sonderposten für Investitionszulagen Rückstellungen;aktiv;;;;Sonderposten für Zuschüsse und Zulagen;KU;HB;;
0950;Rückstellungen für Pensionen und ähnliche Verpflichtungen;aktiv;;;;Rückstellungen für Pensionen und ähnliche Verpflichtungen;KU;;;
0951;Rückstellungen für Pensionen und ähnliche Verpflichtungen zur Saldierung mit Vermögensgegenständen zum langfristigen Verbleib nach § 246 Abs. 2 HGB Art.-Nr. 11174 2026-01-01;aktiv;;;;Rückstellungen für Pensionen und ähnliche Verpflichtungen oder Aktiver Unterschiedsbetrag aus der Vermögensverrechnung;KU;HB;;
0952;Rückstellungen für Pensionen und ähnliche Verpflichtungen gegenüber Gesellschaftern oder nahe stehenden Personen;aktiv;;;;Rückstellungen für Pensionen und ähnliche Verpflichtungen;KU;;;
0953;Rückstellungen für Direktzusagen;aktiv;;;;Rückstellungen für Pensionen und ähnliche Verpflichtungen;KU;;;
0954;Rückstellungen für Zuschussverpflichtungen für Pensionskassen und Lebensversicherungen;aktiv;;;;Rückstellungen für Pensionen und ähnliche Verpflichtungen;KU;;;
0955;Steuerrückstellungen;aktiv;;;;Steuerrückstellungen (allgemein);KU;;;
0956;Gewerbesteuerrückstellung nach § 4 Abs. 5b EStG;aktiv;;;;Steuerrückstellungen (allgemein);KU;;;
0961;Urlaubsrückstellungen;aktiv;;;;Sonstige Rückstellungen;KU;;;
0962;Steuerrückstellung aus Steuerstundung (BStBK);aktiv;;;;Steuerrückstellungen (allgemein);KU;;;
0963;Körperschaftsteuerrückstellung;aktiv;;;;Steuerrückstellungen (allgemein);KU;;;
0964;Rückstellungen für mit der Altersversorgung vergleichbare langfristige Verpflichtungen zum langfristigen Verbleib;aktiv;;;;Sonstige Rückstellungen;;;;
0965;Rückstellungen für Personalkosten;aktiv;;;;Sonstige Rückstellungen;;;;
0966;Rückstellungen zur Erfüllung der Aufbewahrungspflichten;aktiv;;;;Sonstige Rückstellungen;;;;
0967;Rückstellungen für mit der Altersversorgung vergleichbare langfristige Verpflichtungen zur Saldierung mit Vermögensgegenständen zum langfristigen Verbleib nach § 246 Abs. 2 HGB;aktiv;;;;Sonstige Rückstellungen oder Aktiver Unterschiedsbetrag aus der Vermögensverrechnung;;HB;;
0968;Passive latente Steuern;aktiv;;;;Passive latente Steuern;KU;HB;;
0969;Rückstellung für latente Steuern;aktiv;;;;Rückstellungen für latente Steuern;KU;HB;;
0970;Sonstige Rückstellungen;aktiv;;;;Sonstige Rückstellungen;;;;
0971;Rückstellungen für unterlassene Aufwendungen für Instandhaltung, Nachholung in den ersten drei Monaten;aktiv;;;;Sonstige Rückstellungen;;;;
0973;Rückstellungen für Abraum- und Abfallbeseitigung;aktiv;;;;Sonstige Rückstellungen;;;;
0974;Rückstellungen für Gewährleistungen (Gegenkonto 4790);aktiv;;;;Sonstige Rückstellungen;;;;
0976;Rückstellungen für drohende Verluste aus schwebenden Geschäften;aktiv;;;;Sonstige Rückstellungen;;HB;;
0977;Rückstellungen für Abschluss- und Prüfungskosten;aktiv;;;;Sonstige Rückstellungen;;;;
0978;Sonstige Rückstellungen;aktiv;;;;Sonstige Rückstellungen;R;;;
0979;Rückstellungen für Umweltschutz;aktiv;;;;Sonstige Rückstellungen;;;;
0980;Aktive Rechnungsabgrenzung;aktiv;;;;Rechnungsabgrenzungsposten;;;;
0983;Aktive latente Steuern;aktiv;;;;Aktive latente Steuern;;HB;;
0984;Als Aufwand berücksichtigte Zölle und Verbrauchsteuern auf Vorräte;aktiv;;;;Rechnungsabgrenzungsposten;;SB;;
0985;Als Aufwand berücksichtigte Umsatzsteuer auf Anzahlungen;aktiv;;;;Rechnungsabgrenzungsposten;;SB;;
0986;Damnum/Disagio;aktiv;;;;Rechnungsabgrenzungsposten;;;;
0987;Rechnungsabgrenzungsposten (Gewinnrücklage Soll) aus erfolgsneutralen Verrechnungen 11);aktiv;;;;Anfangskapital;KU;HB;;
0988;Latente Steuern (Gewinnrücklage Soll) aus erfolgsneutralen Verrechnungen 11);aktiv;;;;Anfangskapital;KU;HB;;
0989;Gesamthänderisch gebundene Rücklagen (mit Aufteilung für Kapitalkontenentwicklung);aktiv;;;;Rücklagen;F;;;
0990;Passive Rechnungsabgrenzung;aktiv;;;;Rechnungsabgrenzungsposten;;;;
0992;Abgrenzungen unterjährig pauschal gebuchter Abschreibungen für BWA;aktiv;;;;Rechnungsabgrenzungsposten;;;;
0996;Pauschalwertberichtigung auf Forderungen - Restlaufzeit bis zu 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen;KU;;;
0997;- Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen;KU;;;
0998;Einzelwertberichtigungen auf Forderungen - Restlaufzeit bis zu 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen;KU;;;
0999;- Restlaufzeit größer 1 Jahr Seite;aktiv;;;;Forderungen aus Lieferungen und Leistungen;KU;;;
1000;Kasse;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;F;;;
1010;Nebenkasse 1;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;F;;;
1020;Nebenkasse 2;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;F;;;
1100;Bank (Postbank);aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1110;Bank (Postbank 1);aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1120;Bank (Postbank 2);aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1130;Bank (Postbank 3);aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1190;LZB-Guthaben;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1195;Bundesbankguthaben;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1200;Bank;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1210;Bank 1;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1220;Bank 2;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1230;Bank 3;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1240;Bank 4;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1250;Bank 5;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;F;;;
1289;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;R;;;
1290;Finanzmittelanlagen im Rahmen der kurzfristigen Finanzdisposition (nicht im Finanzmittelfonds enthalten);aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks oder Verbindlichkeiten gegenüber Kreditinstituten;KU;;;
1295;Verbindlichkeiten gegenüber Kreditinstituten (nicht im Finanzmittelfonds enthalten);aktiv;;;;Verbindlichkeiten gegenüber Kreditinstituten oder Kassenbestand, Bundesbankgut-haben, Guthaben bei Kreditinstituten und Schecks;KU;;;
1300;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;R;;;1328
1329;Andere Wertpapiere mit unwesentlichen Wertschwankungen;aktiv;;;;Sonstige Wertpapiere;KU;;;
1330;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;aktiv;;;;Kassenbestand, Bundesbankguthaben, Guthaben bei Kreditinstituten und Schecks;R;;;
1340;Anteile an verbundenen Unternehmen (Umlaufvermögen);aktiv;;;;Anteile an verbundenen Unternehmen;KU;;;
1344;Anteile an herrschender oder mit Mehrheit beteiligter Gesellschaft;aktiv;;;;Anteile an verbundenen Unternehmen;KU;;;
1348;Sonstige Wertpapiere;aktiv;;;;Sonstige Wertpapiere;KU;;;
1349;Wertpapieranlagen im Rahmen der kurzfristigen Finanzdisposition Forderungen und sonstige Vermögensgegenstände;aktiv;;;;Sonstige Wertpapiere;KU;;;
1350;GmbH-Anteile zum kurzfristigen Verbleib;aktiv;;;;Sonstige Vermögensgegenstände;KU;;;
1352;Genossenschaftsanteile zum kurzfristigen Verbleib;aktiv;;;;Sonstige Vermögensgegenstände;KU;;;
1353;Vermögensgegenstände zur Erfüllung von mit der Altersversorgung vergleichbaren langfristigen Verpflichtungen;aktiv;;;;Sonstige Vermögensgegenstände;KU;SB;;
1354;Vermögensgegenstände zur Saldierung mit der Altersversorgung vergleichbaren langfristigen Verpflichtungen nach § 246 Abs. 2 HGB;aktiv;;;;Aktiver Unterschiedsbetrag aus der Vermögensverrechnung oder Sonstige Rückstellungen;KU;HB;;
1355;Ansprüche aus Rückdeckungsversicherungen;aktiv;;;;Sonstige Vermögensgegenstände;KU;;;
1356;Vermögensgegenstände zur Erfüllung von Pensionsrückstellungen und ähnlichen Verpflichtungen zum langfristigen Verbleib;aktiv;;;;Sonstige Vermögensgegenstände;KU;SB;;
1357;Vermögensgegenstände zur Saldierung mit Pensionsrückstellungen und ähnlichen Verpflichtungen zum langfristigen Verbleib nach § 246 Abs. 2 HGB;aktiv;;;;Aktiver Unterschiedsbetrag aus der Vermögensverrechnung oder Rückstellungen für Pensionen und ähnliche Verpflichtungen;KU;HB;;
1360;Geldtransit;aktiv;;;;Sonstige Vermögensgegenstände oder Sonstige Verbindlichkeiten;F;;;
1371;Verrechnungskonto Gewinnermittlung § 4 Abs. 3 EStG, nicht ergebniswirksam;aktiv;;;;Sonstige Vermögensgegenstände oder Sonstige Verbindlichkeiten;F;EÜR;;
1372;Wirtschaftsgüter des Umlaufvermögens nach § 4 Abs. 3 Satz 4 EStG;aktiv;;;;Sonstige Vermögensgegenstände oder Sonstige Verbindlichkeiten;V;EÜR;;
1373;Forderungen gegen Kommanditisten oder Verbindlichkeiten gegenüber Kommanditisten;aktiv;;;;Forderungen gegen Kommanditisten oder Verbindlichkeiten gegenüber Kommanditisten;R;;;1375
1376;Forderungen gegen typisch stille Gesellschafter;aktiv;;;;Sonstige Vermögensgegenstände;KU;;;
1377;- Restlaufzeit bis 1 Jahr;aktiv;;;;Sonstige Vermögensgegenstände;KU;;;
1378;- Restlaufzeit größer 1 Jahr;aktiv;;;;Sonstige Vermögensgegenstände;KU;;;
1379;Art.-Nr. 11174 2026-01-01;aktiv;;;;Sonstige Vermögensgegenstände;R;;;
1380;Überleitungskonto Kostenstelle;aktiv;;;;Sonstige Vermögensgegenstände oder Sonstige Verbindlichkeiten;KU;;;
1381;Forderungen gegen GmbH-Gesellschafter;aktiv;;;;Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern;KU;;;
1382;- Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern;KU;;;
1383;- Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen gegen Gesellschafter oder Verbindlichkeiten gegenüber Gesellschaftern;KU;;;
1385;Forderungen gegen persönlich haftende Gesellschafter;aktiv;;;;Forderungen gegen persönlich haftende Gesellschafter oder Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern;KU;;;
1386;- Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen gegen persönlich haftende Gesellschafter oder Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern;KU;;;
1387;- Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen gegen persönlich haftende Gesellschafter oder Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern;KU;;;
1389;Ansprüche aus betrieblicher Altersversorgung und Pensionsansprüche (Mitunternehmer) 28);aktiv;;;;Forderungen gegen persönlich haftende Gesellschafter oder Verbindlichkeiten gegenüber persönlich haftenden Gesellschaftern;KU;SB;;
1390;Verrechnungskonto Ist-Versteuerung;aktiv;;;;Sonstige Vermögensgegenstände oder Sonstige Verbindlichkeiten;F;;;
1391;Neutralisierung ertragswirksamer Sachverhalte für § 4 Abs. 3 EStG;aktiv;;;;Sonstige Vermögensgegenstände oder Sonstige Verbindlichkeiten;F;EÜR;;
1394;Forderungen gegen Gesellschaft/ Gesamthand 28);aktiv;;;;Sonstige Vermögensgegenstände oder Sonstige Verbindlichkeiten;KU;SB;;
1400;Forderungen aus Lieferungen und Leistungen;debitor;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;S;;;
1401;Forderungen aus Lieferungen und Leistungen;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;R;;;1406
1410;Forderungen aus Lieferungen und Leistungen ohne Kontokorrent;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;1444
1445;Forderungen aus Lieferungen und Leistungen zum allgemeinen Umsatzsteuersatz oder eines Kleinunternehmers (EÜR);aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;EÜR;;
1446;Forderungen aus Lieferungen und Leistungen zum ermäßigten Umsatzsteuersatz (EÜR);aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;EÜR;;
1447;Forderungen aus steuerfreien oder nicht steuerbaren Lieferungen und Leistungen (EÜR);aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;EÜR;;
1448;Forderungen aus Lieferungen und Leistungen nach Durchschnittssätzen nach § 24 UStG (EÜR);aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;EÜR;;
1449;Gegenkonto 1445-1448 bei Aufteilung der Forderungen nach Steuersätzen (EÜR);aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;EÜR;;
1450;Forderungen nach § 11 Abs. 1 Satz 2 EStG für § 4 Abs. 3 EStG;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;EÜR;;
1451;Forderungen aus Lieferungen und Leistungen ohne Kontokorrent - Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;
1455;- Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;
1460;Zweifelhafte Forderungen;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;
1461;- Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;
1465;- Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen aus Lieferungen und Leistungen oder Sonstige Verbindlichkeiten;F;;;
1470;Forderungen aus Lieferungen und Leistungen gegen verbundene Unternehmen;aktiv;;;;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;F;;;
1471;- Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;F;;;
1475;- Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen gegen verbundene Unternehmen oder Verbindlichkeiten gegenüber verbundenen Unternehmen;F;;;
1478;Wertberichtigungen auf Forderungen gegen verbundene Unternehmen - Restlaufzeit bis 1 Jahr;aktiv;;;;Forderungen gegen verbundene Unternehmen H-Saldo;KU;;;
1479;- Restlaufzeit größer 1 Jahr;aktiv;;;;Forderungen gegen verbundene Unternehmen H-Saldo;KU;;;
